설치장소명,설치장소상세,설치시설구분,소재지도로명주소,위도,경도
메이즈랜드,출입구 좌측돌하르방 뒤 탐방로방향,관광,제주특별자치도 제주시 구좌읍 비자림로 2134-47,33.488752,126.8009299
용담해안 카페촌거리,IP주상단 해안도로 동쪽,관광,제주특별자치도 제주시 서해안로 516,33.5197986,126.4941757
용담해안 카페촌거리,IP주상단 해안도로 서쪽,관광,제주특별자치도 제주시 서해안로 516,33.5197986,126.4941757
제주의료원 부속 요양병원,신축동 1층 314호 앞 천정,편의시설,제주특별자치도 제주시 산천단남길 10,33.4452709,126.5601453
제주의료원 부속 요양병원,신축동 1층 317호 앞 천정,편의시설,제주특별자치도 제주시 산천단남길 10,33.4452709,126.5601453
제주의료원 부속 요양병원,신축동 1층 314호 앞 천정,편의시설,제주특별자치도 제주시 산천단남길 10,33.4452709,126.5601453
제주의료원 부속 요양병원,신축동 2층 324호 앞 천정,편의시설,제주특별자치도 제주시 산천단남길 10,33.4452709,126.5601453
제주의료원 부속 요양병원,신축동 2층 327호 앞 천정,편의시설,제주특별자치도 제주시 산천단남길 10,33.4452709,126.5601453
제주의료원 부속 요양병원,신축동 2층 324호 앞 천정,편의시설,제주특별자치도 제주시 산천단남길 10,33.4452709,126.5601453
건입동주민센터,IP주 상단,교통시설,제주특별자치도 제주시 만덕로 18,33.5150116,126.5315988
환경성질환예방관리센터,태양열구조물기둥 상단,교통시설,제주특별자치도 제주시 구좌읍 다랑쉬북로 68-92,33.4867212,126.8101566
절물자연휴양림,IP주 상단,교통시설,제주특별자치도 제주시 명림로 584,33.4393726,126.6284479
아라동주민센터,CCTV 폴 중단,교통시설,제주특별자치도 제주시 중앙로 527,33.4763055,126.5450535
제주대학교 병원,IP주 상단,교통시설,제주특별자치도 제주시 아란13길 15,33.4670429,126.5457558
제주시자치경찰단,울타리 기둥 상단,교통시설,제주특별자치도 제주시 기자길 7,33.4850238,126.5442901
애월도서관,충전소 옆 벽면,교통시설,제주특별자치도 제주시 애월읍 일주서로 6339,33.4633212,126.3314033
애월읍사무소,읍사무소 동쪽 옥상,교통시설,제주특별자치도 제주시 애월읍 일주서로 6322,33.4620933,126.3290605
제주농업기술센터,충전소 옆 가로등 상단,교통시설,제주특별자치도 제주시 애월읍 상귀길 173,33.4592643,126.403769
보건환경연구원,충전소 뒤 변전실 울타리 기둥 상단,교통시설,제주특별자치도 제주시 삼동길 41,33.4798486,126.4951395
설문대여성문화센터,전기차 충전소 전기IP주에 함체 신설,교통시설,제주특별자치도 제주시 선덕로8길 12,33.4844207,126.500595
제주도의회,전기차 충전소 전기IP주에 함체 신설,교통시설,제주특별자치도 제주시 문연로 13,33.4903182,126.4992861
외도동주민센터,충전소 옆 벽면,교통시설,제주특별자치도 제주시 일주서로 7350,33.4929556,126.4322517
롯데리아 제주외도 DT,전기 IP주 상단,교통시설,제주특별자치도 제주시 일주서로 7335,33.4932203,126.4307319
용담2동주민센터,전기 IP주 상단,교통시설,제주특별자치도 제주시 흥운길 27,33.5115829,126.5118008
제주공항 입구 공영주차장,전기 IP주 상단,교통시설,제주특별자치도 제주시 다호북길 7,33.5032794,126.4956639
제주보건소,전기 IP주 상단,교통시설,제주특별자치도 제주시 연삼로 264,33.4917032,126.5202864
제주시청,전기자동차 충전소 옆 IP주,교통시설,제주특별자치도 제주시 동광로6길 22,33.500061,126.531351
제주시청,제주시청 직장어린이집 벽면,교통시설,제주특별자치도 제주시 동광로6길 22,33.500227,126.532707
일도이동공영주차장,2층 취미실 내 샤워장 외벽에 함체 신설,교통시설,제주특별자치도 제주시 일도2동 488-2,33.5105735,126.5438387
성판악휴게소,전주 상단,교통시설,제주특별자치도 제주시 조천읍 교래리 산137-2,33.3921505,126.6048973
조천119센터,건물 외벽,교통시설,제주특별자치도 제주시 조천읍 신북로 337,33.5410941,126.6469034
조천읍사무소,우측 입구 기둥,교통시설,제주특별자치도 제주시 조천읍 신북로 194,33.5345995,126.6342946
조천체육관,입구 우측 벽면,교통시설,제주특별자치도 제주시 조천읍 조천18길 11-1,33.5397165,126.6439447
GS25 너울빌리지점,전기 IP주 상단,교통시설,제주특별자치도 제주시 한경면 일주서로 4469,33.3626917,126.193708
한경119센터,건물 좌측 벽면,교통시설,제주특별자치도 제주시 한경면 일주서로 4218,33.3426894,126.1829494
해양경비안전센터(고산출장소),출입구 우측 벽면,교통시설,제주특별자치도 제주시 한경면 노을해안로 1145,33.3081601,126.164197
김창열미술관,충전소 우측 가로등 중단,교통시설,제주특별자치도 제주시 한림읍 용금로 883-5,33.3389037,126.2682351
한림읍사무소,충전소 뒤 우측 벽면,교통시설,제주특별자치도 제주시 한림읍 한림상로 132,33.4103346,126.2672798
애월119센터,건물 우측 기둥 상단,교통시설,제주특별자치도 제주시 애월읍 일주서로 6513,33.4666589,126.3488567
